Target.ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	countries_country_name	PrimaryRace
SEEDGWAS1:250054445	-1.442066253433432	-12.888164850824577	2.3767109827295543	10.12390109304672	5.976848870187252	2.1063085178926255	-2.943744287361118	-0.486540427581693	2.972578692071707	1.500561144947329	NA	TUXPEN
SEEDGWAS10:250054453	-16.66821819115931	-19.93692523188824	9.532480881143616	6.730386827023805	12.178826794646076	-9.59550810787611	14.506638592681208	-6.123922042208414	4.204646032660101	-1.2545100200510193	MEXICO	TUXPEN
SEEDGWAS1000:250067677	-7.485375910141555	-15.347657492732326	5.898056636738086	4.265095121735361	7.843490661616407	1.5856280677995356	6.6358550142398744	-2.463616335597416	3.262260086924895	0.45300966406041426	MEXICO	TUXPEN
SEEDGWAS1001:250067678	-5.486537501449449	-14.02318626574182	8.458699427228357	5.05371018998857	7.780346704783868	-1.775409608684858	5.172808466901686	-5.058908815773807	3.580215782925132	-0.7623224732342009	MEXICO	TUXPEN
SEEDGWAS1006:250067682	-21.417832347287483	-18.56995172346755	1.7269367701027745	-9.913274053539654	-3.713810199746679	-0.5100752604337817	1.564520184506397	1.1372089716693046	-0.2885611526837767	-18.098127483636656	PARAGUAY	TUPIPY
SEEDGWAS1008:250067716	-15.565344835056814	-6.108893919310016	-0.37202078669568345	14.866126444445442	-28.618809570123947	2.947868983543406	-3.4811594063619804	6.846809750457271	-16.88403643404705	-0.991760357919412	COLOMBIA	CARIAC
SEEDGWAS1009:250067717	-10.231825688239958	-13.87032139591655	2.513972750397398	15.729833923875514	-3.209992394186499	2.6771266210330316	6.29329791286085	13.239827133051165	-0.7485417118169037	1.0719357016202984	MEXICO	TUXPEN
SEEDGWAS101:250054517	-17.232663309718895	-19.736058735939192	10.705300186866044	4.556811670692449	11.27645121493693	-3.98706361669644	18.90792456354818	-4.82696335214608	4.855904125461389	0.483567760653256	MEXICO	TUXPEN
SEEDGWAS1011:250067718	-8.7838424148078	-15.93038024135918	6.511114847235455	12.20222430881346	1.8693339146600951	-0.12692102104543693	4.51782885046612	6.608266506069061	2.3025946352562054	1.4026575213101375	MEXICO	OLOTIL
SEEDGWAS1012:250067719	-8.157519406373336	-14.63426792433956	5.44227965651068	13.257956145584956	2.074266932959083	-2.923015142756366	-0.20571525143619376	5.5168822656076175	0.34324248089147297	0.811231421739105	MEXICO	OLOTIL
SEEDGWAS1017:250067722	4.123420280114343	-10.562352921561798	0.30639038737649527	12.71019602286311	3.8226881440236817	-4.40015489550283	-18.745514219135405	-3.529580074572383	1.2790012667434425	0.5953114137240925	MEXICO	ZAPCHI
SEEDGWAS1019:250067723	-15.308757815594651	-19.502352611503763	9.945222232514965	5.004343740257588	9.46560709672602	-2.6908102400828633	13.046892829545971	-4.214740908345472	2.7159795875118427	-2.277273591198913	MEXICO	OLOTIL
SEEDGWAS1020:250067724	-9.131064153916707	-15.56106367763169	3.655011257288846	12.377423791694362	1.271352780150082	-0.212682667860569	-0.620569044054612	5.656529115997042	1.4689674216167967	-0.4464597119453857	MEXICO	OLOTIL
SEEDGWAS1023:250067726	-12.787950747273229	-18.544079170393584	7.800394773223429	6.927020292884829	7.041688312363172	-5.600661112502953	6.16456796922327	-1.753512956961415	1.0389613973575629	-0.38929134599156234	MEXICO	TUXPEN
SEEDGWAS1024:250067727	-13.577220219854182	-18.975372879272296	6.835081721316625	8.674186767345983	5.580595996144252	-8.193704050633587	4.373129862316845	-2.5309495507240394	-0.7155767910825745	-0.2977467143885045	MEXICO	TUXPEN
SEEDGWAS1025:250067728	-13.809485350274494	-19.569360931486333	9.985103104543333	5.374705742921234	11.05462990300957	5.1503122728648325	25.33307789412484	3.078220295039673	5.283832535544154	0.4642836804134088	MEXICO	TUXPEN
SEEDGWAS1026:250067729	-8.666742204866324	5.305027041550771	-46.16895547803024	-1.8956658553483516	7.0198350116941635	-13.50326228155524	-0.8076729147087771	5.378850899959011	3.3945602670058883	0.8754376530026842	ARGENTINA	CRISCO
SEEDGWAS1027:250067730	-9.460363360764882	5.3769890848811706	-43.937013836730955	0.6657352505831472	7.289095705656983	-7.995766951011256	4.799204106513935	2.561874456260796	-2.5402389937827494	0.998144444182904	ARGENTINA	CRAMAN
SEEDGWAS1028:250067731	-23.726601447686985	-0.6357262139774397	7.944269924328789	6.556849722736498	4.383595800309945	-7.2106157680044	5.949625985122486	-8.284394723295442	3.416765122269753	-1.3754035738056725	NA	CUBANO
SEEDGWAS1029:250067732	-0.8460390453933888	-11.873184518256403	2.279610154167231	11.945980109287705	1.549054975432051	8.510745278760972	-5.463929609502035	7.353075352917512	2.772790215175079	1.910219976708945	MEXICO	ZAPGRA
SEEDGWAS103:250054518	-17.412015214904333	-22.353184867860765	9.82021440090909	6.144305637207765	9.694663748348097	-10.113162017571408	11.641748375227582	-9.58948802405629	3.097549793097755	-0.8105396414566189	NA	TUXPEN
SEEDGWAS1031:250067734	-12.90547685236495	-16.828407352324287	8.601065530375104	9.27784827044773	8.638079646607766	-5.156217898816408	7.522109330803808	-3.825942625117666	2.695870972109057	0.8295791101157726	MEXICO	OLOTIL
SEEDGWAS1032:250067735	-10.53467013816374	-14.513564440050397	3.169099803779056	14.401225879720164	-5.859366954541289	-5.905873120371993	-8.253458199778906	7.202222480624971	-1.205749044913878	2.167045102817307	MEXICO	TUXPEN
